idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,KENb1,KENb2,b5,b6,b6a,b6b,b7,b7a,b8,b8x,KENb3,KENb4,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d5a,d8,d10,d11,d12a,d12b,d13,d14,d15a,d30a,d30b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,KENh1a,KENh1b,KENh1c,KENh2a,KENh2b,KENh2c,KENh2d,KENh3,KENh4a,KENh4b,KENh4c,KENh4d,KENh5,KENh6,KENh7,KENh8,KENh9a,KENh9b,KENh9c,f1,f2,KENf1a,KENf1b,KENf1c,KENf1d,KENf1e,g6a,g1a,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,KENk1,KENk2,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a1,k21,KENk3,KENk4,KENk5,k30,MMs1,MMs2,MMs3,MMs4,MMs5,MMs6,MMs7,MMs8,MMs9,MMs10,MMs12,MMs11,h7a,j2,j3,j4,j5,KENj1,KENj2,j6a,j6,j7a,j7b,KENj3,KENj4,KENj5,KENj6,KENj7,KENj8,j10,j11,j12,j13,j14,j15,KENj9,KENj10,KENj11a,KENj11b,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l30a,l30b,m1a,n2a,n2e,n2b,n2i,n2p,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
628760,446,Textiles and Garments,Small,Nakuru,Textiles,Manufacturing,Nakuru,Small,6,7,2018,12,22,Kenya,Sr1024,English,Establishment,No,,,,,,2018,6,30,Limited partnership,,90,90,0,0,10,No,,90,100,1982,5,Yes,1981,30,No,No,,No,No,No,,,Yes,3.0,0.0,20.0,1.0,,Yes,10.0,No,,,No,,,No,Minor obstacle,Manufacturing of ,Nylon Ropes,70,45000000.0,Fourty  Five Million ,32000000.0,100,0,0,,,,1,1.0,80,20,No,,,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,Yes,Their companyâs performance as measured by targets,Based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,No,Yes,Major obstacle,No,,,,Yes,Use Small Trucks,We Used To Use Bigger Trucks That Were Slow In Delivery Process Thus Dissapointing Our Customers,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Interactions with customers,Minor obstacle,Major obstacle,No obstacle,70.0,48.0,No,Yes,No,No,Yes,100,100,No,,,,,,No obstacle,Yes,1.0,,No,,,Minor obstacle,70,0,0,30,0,,,No,,,,,,,,,,,,,,,Yes,500000.0,0.0,Yes,Yes,Yes,Private commercial banks,2017.0,8000000.0,Yes,Yes,No,No,No,No,20000000.0,2.0,13000000.0,No,Yes,,Application was approved in full,Yes,No,Positively affected,,Major obstacle,No,,,,,,,,,,,Suppliers don't use mobile money,Tend to disagree,No time was spent,Yes,2.0,No,Yes,2.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,No,,,Yes,In line with my expectation,Increase,Increase,Major obstacle,Major obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,11,8,7.0,4.0,4.0,2.0,1.0,0.0,0.0,,No full-time seasonal or temporary workers,,,100.0,,No,,,,,Minor obstacle,Minor obstacle,Practices of competitors in the informal sector,4000000.0,25000000.0,600000.0,,33000000.0,25000000.0,30000000.0,6,7,2018,13,27,6,,10,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,1723,Nakuru,Small and Medium (5-99),Textiles and Garments,Panel,2.8291216,2.7918944,1.8897359,171
628761,448,"Chemical, Pharmaceutical, and Plastic",Small,Nakuru,Retail,Retail services,Nakuru,Small,4,6,2018,11,45,Kenya,Sr1024,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,Yes,100.0,100,0,2003,7,Yes,2002,25,No,No,,Yes,No,No,,,Yes,3.0,0.0,20.0,None,,Yes,2.0,No,,,,,,No,Minor obstacle,Retail trade of ,Sale Of Fertilizer,28,78000000.0,Seventy Eight Million .,76000000.0,100,0,0,,,,No losses,No losses,80,20,No,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,Most managers and some production workers,No,,"Based mainly on factors other than performance and ability (for example, tenure or family connections)",Rarely or never,,,,Yes,Moderate obstacle,Yes,Yes,Animal Feeds From A New Company That Has Really Boosted The Number Of Our Sales,Introduction Of Agency Banking Service,No,,,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Interactions with customers,No obstacle,Minor obstacle,Minor obstacle,,,,,,,,0,0,No,,,5000.0,Square Feet,,No obstacle,Yes,,420000.0,Yes,Don't know (spontaneous),,No obstacle,100,0,0,0,0,,,Yes,80000.0,0.0,,80000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,Yes,No,No effect,,Moderate obstacle,Yes, Reduce the time spent in financial transactions,No,,Yes,5.0,Yes,20.0,Yes,15.0,No,,Tend to disagree,5,Yes,4.0,No,Yes,3.0,Yes,No payments,2.0,,No,,Yes,2.0,No,,No,,,No,,,Yes,In line with my expectation,Increase,Increase,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,8,7,,,,,,,,3.0,No full-time seasonal or temporary workers,,,7.0,,No,,,,,No obstacle,No obstacle,Political instability,3000000.0,,105000.0,110000000.0,,,,4,6,2018,12,50,6,,1,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5219,Nakuru,Small (5-19),"Chemical, Pharmaceutical, and Plastic",Panel,1.0,1.0,1.0,139
628762,452,Other Manufacturing,Small,Nakuru,Services of motor vehicles,Other services,Nakuru,Small,21,7,2018,15,42,Kenya,Sr1025,English,Establishment,No,,,,,,2018,4,30,Limited partnership,,70,100,0,0,0,No,,70,100,2008,Don't know (spontaneous),Yes,2008,10,No,No,,Yes,No,No,,,Yes,5.0,0.0,30.0,None,,No,,No,,,,,,No,Minor obstacle,Retail trade of ,Auto Spares,65,28000000.0,Twenty Eight Million ,34000000.0,100,0,0,,,,No losses,5.0,90,10,No,,,Moderate obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,All managers and most production workers,No,,Based solely on performance and ability,Rarely or never,,,,Yes,Minor obstacle,No,,,,No,,,No,,,,,No,No,Yes,No,Did not have a product to patent,No,No,No,No,No,Yes,Somewhat useful,Professional journals and trade publications,No obstacle,No obstacle,Minor obstacle,,,,,,,,0,0,No,,,,,,No obstacle,Yes,1.0,,No,,,Minor obstacle,30,10,0,40,20,,Don't know (spontaneous),No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,Don't know (spontaneous),No,No need for a loan - establishment had sufficient capital,,Yes,No,Negatively affected,Use of informal lenders,No obstacle,Yes,Satisfy customers' request,No,,Yes,50.0,No,,Yes,10.0,No,,Strongly disagree,30,Yes,1.0,No,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,No,,,Yes,Below my expectation,Increase,Decrease,Minor obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,6,6,,,,,,,,3.0,3,2.0,6.0,100.0,,Yes,,,,,Minor obstacle,Minor obstacle,Political instability,2640000.0,,15000.0,,,,,21,7,2018,16,7,6,,6,Female,,,,,,,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5030,Nakuru,Small (5-19),Other Manufacturing,Panel,1.1012852,1.4145415,1.9868661,141
628763,453,Other Manufacturing,Medium,Nakuru,Wholesale,Other services,Nakuru,Micro,4,6,2018,10,11,Kenya,Sr1025,English,Establishment,No,,,,,,2018,1,1,Sole proprietorship,,100,100,0,0,0,Yes,100.0,100,0,2018,3,Yes,2016,15,No,No,,No,No,No,,,Yes,2.0,0.0,15.0,None,,No,,No,,,,,,No,Major obstacle,Wholesale trade of ,Text Books And Excerise Books,60,718000.0,Seven Hundred And Eighteen  Thousand,Not in business three years ago,100,0,0,,,,No losses,No losses,10,90,No,,,Minor obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,Only senior managers,No,,Does not apply (spontaneous),DOES NOT APPLY (SPONTANEOUS),,,,Yes,Very severe obstacle,No,,,,No,,,No,,,,,Don't know (spontaneous),No,No,No,,No,No,No,No,No,No,,Internet,Major obstacle,Moderate obstacle,Very severe obstacle,,,,,,,,0,0,No,,,,,,No obstacle,Yes,5.0,,No,,,Major obstacle,60,0,0,30,10,,Don't know (spontaneous),Yes,250000.0,100000.0,20.0,,80.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,Yes,Private commercial banks,2018.0,1000000.0,No,,,,,,,Don't know (spontaneous),,No,No,No need for a loan - establishment had sufficient capital,,No,No,No effect,,No obstacle,Yes,Satisfy customers' request,No,,Yes,40.0,Yes,60.0,No,,,,Tend to disagree,10,No,,,No,,No,,10.0,,No,,No,,No,,No,,,No,,,No,,Does not apply,Remain the same,Very severe obstacle,Major obstacle,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,2,Establishment was not in business,,,,,,,,1.0,2,1.0,5.0,1.0,,No,,,,,No obstacle,No obstacle,Political instability,250000.0,,15000.0,,,,,4,6,2018,11,3,1,,Refusal (spontaneous),Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5190,Nakuru,Small (5-19),Other Manufacturing,Panel,1.1012852,1.4145415,1.9868661,141
628764,456,Other Manufacturing,Small,Nakuru,Services of motor vehicles,Other services,Nakuru,Small,22,6,2018,13,46,Kenya,Sr1024,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,No,,100,100,2006,3,Yes,2005,12,No,No,,Yes,No,No,,,Yes,4.0,0.0,15.0,5.0,,No,,No,,,,,,No,Very severe obstacle,Provide services of ,Repairing Of Vehicle Parts Such As Clutch,100,6000000.0,Six Million ,5200000.0,100,0,0,,,,No losses,No losses,100,0,,,,Minor obstacle,Minor obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,All managers and most production workers,Yes,Their own performance as measured by targets,Non-managers are normally not promoted,After 6 months of identifying non-manager under-performance,,,,Yes,Major obstacle,Yes,No,Purchased Standard Machines To Improve Quality Of Our Work,The Machines Make Quality Products Hence Improved The Trust Of Our Customers Also They Are Faster Than The Ones We Hard,No,,,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Professional journals and trade publications,Minor obstacle,Minor obstacle,Minor obstacle,,,,,,,,0,0,No,,,,,,No obstacle,Yes,,240000.0,No,,,Minor obstacle,40,60,0,0,0,,,Yes,2000000.0,0.0,30.0,,0.0,,70.0,,0.0,,0.0,,0.0,,,,,Yes,No,Yes,Private commercial banks,2017.0,1600000.0,Yes,No,Yes,No,Yes,No,10000000.0,1.0,600000.0,No,No,Other,,Yes,No,No effect,,Moderate obstacle,Yes,Satisfy customers' request,No,,No,,No,,Yes,30.0,No,,Tend to disagree,No time was spent,Yes,3.0,No,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,No,,,No,,Increase,Increase,Moderate obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,7,7,,,,,,,,1.0,No full-time seasonal or temporary workers,,,80.0,,No,,,,,Minor obstacle,Minor obstacle,Tax administration,2000000.0,,240000.0,,,,,22,6,2018,14,41,1,,12,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5020,Nakuru,Small (5-19),Other Manufacturing,Panel,1.1012852,1.4145415,1.9868661,141
628765,457,Other Manufacturing,Medium,Nakuru,Hotel and restaurants: section H,Other services,Nakuru,Small,2,8,2018,14,40,Kenya,Sr1024,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,No,,100,0,2006,12,Yes,2006,9,No,No,,No,No,No,,,Yes,4.0,5.0,0.0,15.0,,No,,No,,,,,,Yes,Major obstacle,Hotel or restaurant,Accommodation,90,2400000.0,Two Million And Four Hundred Thousand ,2200000.0,100,0,0,,,,No losses,No losses,100,0,,,,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Most managers and most production workers,No,,"Based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,,,,Yes,Major obstacle,No,,,,No,,,Yes,25000.0,,,,No,No,No,No,Not aware of the importance of patenting a new product or process,No,No,No,No,Yes,Yes,Very useful,Interactions with customers,Minor obstacle,Moderate obstacle,Minor obstacle,,,,,,,,100,100,No,,,,,,No obstacle,Yes,,140000.0,No,,,Minor obstacle,90,0,0,10,0,,,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Other,,Yes,No,No effect,,Minor obstacle,Yes,Satisfy customers' request,No,,Yes,5.0,Yes,5.0,Yes,5.0,No,,Tend to disagree,2,Yes,2.0,No,Yes,12.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,30.0,No,No,,Increase,Increase,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,No obstacle,7,9,,,,,,,,3.0,2,2.0,Less than one month,,5.0,Yes,,,,,Minor obstacle,Minor obstacle,Practices of competitors in the informal sector,640000.0,,410000.0,,,,,2,8,2018,15,37,9,,10,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5510,Nakuru,Medium (20-99),Other Manufacturing,Panel,1.0993153,1.7539134,1.3128976,153
628766,458,Other Manufacturing,Small,Nakuru,Retail,Retail services,Nakuru,Medium,16,7,2018,13,16,Kenya,Nb1347,English,Establishment,No,,,,,,2018,1,30,Limited partnership,,60,100,0,0,0,Yes,10.0,100,0,Don't know (spontaneous),Don't know (spontaneous),Yes,1987,6,No,No,,Yes,No,No,,,Yes,2.0,2.0,20.0,None,,Yes,5.0,No,,,,,,Yes,Minor obstacle,Retail trade of ,Generators,80,300000000.0,Three Hundred Million,500000000.0,100,0,0,,,,No losses,No losses,20,80,No,,,Major obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Most managers and some production workers,No,,"Based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,,,,Yes,Moderate obstacle,Yes,Yes,Introduced E Cutters,Replaced Traditional E Cutters,No,,,Yes,Don't know (spontaneous),No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Internet,Minor obstacle,Major obstacle,Minor obstacle,,,,,,,,100,100,No,,,100.0,Square Feet,,No obstacle,Yes,,400000.0,No,,,Minor obstacle,80,20,0,0,0,,,No,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,Negatively affected,Use of retained earnings or internal finance,Moderate obstacle,Yes,Reduce costs of financial transactions,No,,No,,Yes,5.0,Yes,30.0,No,,Tend to agree,No time was spent,Yes,Don't know (spontaneous),No,Yes,2.0,Yes,No payments,No payments or gifts are paid,,No,,No,,Yes,Don't know (spontaneous),Yes,Don't know (spontaneous),No,Yes,Less than one day,Don't know (spontaneous),Yes,Below my expectation,Increase,Increase,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,19,19,,,,,,,,2.0,No full-time seasonal or temporary workers,,,,19.0,No,,,,,No obstacle,No obstacle,Tax administration,Don't know (spontaneous),,20000.0,Don't know (spontaneous),,,,16,7,2018,14,7,5,,6,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,Several visits,2.0,24.0,Nb0383,No,Yes,Over 250.000 to 1 million,5239,Nakuru,Small (5-19),Other Manufacturing,Panel,1.1012852,1.4145415,1.9868661,141
628767,459,Other Manufacturing,Medium,Nakuru,Services of motor vehicles,Other services,Nakuru,Small,11,6,2018,10,38,Kenya,Sr1024,English,Establishment,Yes,3.0,Yes,Yes,Yes,,2017,6,30,Limited partnership,,50,100,0,0,0,No,,100,100,1998,25,Yes,1998,20,No,No,,No,No,No,,,Yes,2.0,3.0,0.0,5.0,,Yes,15.0,No,,,,,,Yes,Major obstacle,Provide services of ,Repairing Services,75,50000000.0,Fifty Million,40000000.0,100,0,0,,,,No losses,No losses,100,0,,,,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Non-managers are normally not promoted,Rarely or never,,,,Yes,Major obstacle,Yes,Yes,Introduced Special Automated Flower Grading Machine; The First In Kenya,Gives Better Quality Grading And The Output Is Much More Compared To The Old System,No,,,No,,Yes,Yes,No,No,No,No,No,Process is cumbersome,No,No,No,No,Yes,No,,Internet,Moderate obstacle,Very severe obstacle,Major obstacle,,,,,,,,0,0,Yes,Still in process,Yes,,,,Moderate obstacle,Yes,3.0,,Yes,3.0,,Moderate obstacle,20,50,0,30,0,,,No,,,,,,,,,,,,,,,,,,No,Yes,Yes,Private commercial banks,2017.0,Refusal (spontaneous),Yes,No,Yes,No,No,No,3000000.0,6.0,4000000.0,Yes,No,Collateral requirements were too high,,Yes,No,No effect,,Very severe obstacle,Yes, Reduce the time spent in financial transactions,Yes,Don't know (spontaneous),Yes,Don't know (spontaneous),Yes,Don't know (spontaneous),Yes,Don't know (spontaneous),No,,Strongly disagree,50,Yes,20.0,Yes,Yes,5.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,Yes,Above my expectation,Increase,Increase,Very severe obstacle,Very severe obstacle,Moderate obstacle,Very severe obstacle,Very severe obstacle,Major obstacle,7,10,,,,,,,,2.0,20,7.0,2.0,75.0,,No,,,,,Major obstacle,Moderate obstacle,Corruption,2400000.0,,170000.0,,,,,11,6,2018,11,44,9,,20,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5040,Nakuru,Medium (20-99),Other Manufacturing,Panel,1.0,1.2379782,1.0,153
628768,462,Other Manufacturing,Medium,Nakuru,Leather ,Manufacturing,Nakuru,Medium,8,6,2018,9,38,Kenya,Nb1347,English,Establishment,No,,,,,,2017,12,1,Limited partnership,,70,100,0,0,0,No,,70,0,1970,Don't know (spontaneous),Yes,Don't know (spontaneous),7,No,No,,Yes,Yes,No,,,Yes,Don't know (spontaneous),,,Don't know (spontaneous),,Yes,Don't know (spontaneous),No,,,No,,,No,Major obstacle,Manufacturing of ,Of Animal Hides To Leather,100,30000000.0,Thirty Million,84000000.0,80,20,0,,,1990.0,40,No losses,80,20,No,,,Major obstacle,Major obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Most managers and most production workers,Yes,Their team or shift performance as measured by targets,"Based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",After 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,10.0,No,Yes,Major obstacle,Yes,No,Introduced Finished Leather,It Has Improved Sales,Yes,Manufacturing Of Finished Leather Products,We Now Manufacture Finished Leather Products Unlike Before,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Internet,No obstacle,No obstacle,No obstacle,80.0,63.0,No,Yes,No,No,Yes,100,100,No,,,,,,Minor obstacle,Yes,1.0,,No,,,Minor obstacle,100,0,0,0,0,,,Yes,15000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,No,No,No,,,,,,,,,,,,,Don't know (spontaneous),Don't know (spontaneous),,,Don't know (spontaneous),Don't know (spontaneous),Negatively affected,Don't know (spontaneous),Moderate obstacle,Yes, Reduce the time spent in financial transactions,No,,No,,Yes,10.0,Yes,20.0,No,,Tend to agree,No time was spent,Yes,1.0,No,Yes,1.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Don't know (spontaneous),No,No,,Increase,Increase,Minor obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,70,50,50.0,20.0,10.0,20.0,20.0,50.0,20.0,,70,5.0,Less than one month,Don't know (spontaneous),,Yes,,50.0,,Don't know (spontaneous),Minor obstacle,Minor obstacle,Electricity,1000000.0,40000000.0,12000000.0,,30000000.0,12000000.0,100000000.0,8,6,2018,10,50,4,,15,Male,Accountant,Refusal (spontaneous),Male,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with different managers/staff,2.0,50.0,Nb0383,No,Yes,Over 250.000 to 1 million,1911,Nakuru,Medium (20-99),Other Manufacturing,Panel,1.0,1.2379782,1.0,153
628769,463,Retail,Small,Nakuru,Retail,Retail services,Nairobi,Medium,21,1,2019,14,45,Kenya,Nb1078,English,Establishment,No,,,,,,2017,9,29,Limited partnership,,Don't know (spontaneous),100,0,0,0,No,,Don't know (spontaneous),0,1950,Don't know (spontaneous),Yes,1950,25,Yes,Yes,Fssc2000,Yes,No,Yes,Still in process,No,Yes,1.0,6.0,0.0,None,,Yes,1.0,Yes,Less than one day,No,,,,Yes,No obstacle,Retail trade of ,Coffee Beans,80,3000000000.0,Three Billion,65000000.0,15,80,5,,,1950.0,1,No losses,100,0,,,,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,Their companyâs performance as measured by targets,"Based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",After 6 months of identifying non-manager under-performance,,,,No,No obstacle,Yes,Yes,Capsule Sized Coffee Packages,No Need To Boil And Very Small Only 5Grams,No,,,Yes,8000000.0,Yes,Yes,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Interactions with customers,No obstacle,No obstacle,No obstacle,,,,,,,,100,100,No,,,50.0,Square Meters,,No obstacle,Yes,,650000000.0,No,,,No obstacle,100,0,0,0,0,,,Yes,150000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,No obstacle,Yes, Reduce the time spent in financial transactions,Yes,1.0,No,,No,,No,,,,Tend to disagree,No time was spent,Yes,1.0,No,Yes,3.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,90.0,No,No,,Does not apply,Remain the same,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,20,16,,,,,,,,11.0,4,3.0,2.0,100.0,,No,,,,,No obstacle,No obstacle,"Crime, theft and disorder",2500000.0,,5000000.0,240000000.0,,,,21,1,2019,15,24,8,,4,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nb1078,Yes,Yes,City with population over 1 million,5220,Nakuru,Small (5-19),Retail,Panel,1.6373148,1.3804549,4.1016507,143
628770,464,Other Services,Small,Nakuru,Services of motor vehicles,Other services,Nakuru,Small,4,6,2018,16,5,Kenya,Sr1024,English,Establishment,No,,,,,,2017,6,30,Shareholding company with non-traded shares or shares traded privately,,99,100,0,0,0,Yes,99.0,100,100,2001,4,Yes,2001,17,No,No,,No,No,Yes,7.0,No,No,,,,,,Yes,Don't know (spontaneous),Yes,30.0,No,,,,No,Moderate obstacle,Retail trade of ,Sale Of Motorcycles,51,150000000.0,One Hundred And Fifty Million,90000000.0,100,0,0,,,,No losses,No losses,80,20,Yes,90.0,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,Only senior managers,Yes,Their own performance as measured by targets,Based solely on performance and ability,Rarely or never,,,,Yes,Major obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Internet,Minor obstacle,Minor obstacle,Minor obstacle,,,,,,,,100,100,No,,,,,,No obstacle,No,,,No,,,No obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,No obstacle,Yes,Reduce costs of financial transactions,No,,No,,No,,Yes,100.0,No,,Strongly disagree,No time was spent,No,,,Yes,2.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,No,,Remain the same,Increase,Moderate obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,No obstacle,Moderate obstacle,15,12,,,,,,,,5.0,No full-time seasonal or temporary workers,,,100.0,,No,,,,,Minor obstacle,Minor obstacle,Political instability,6000000.0,,254000.0,,,,,4,6,2018,16,52,6,,6,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb0383,No,Yes,Over 250.000 to 1 million,5040,Nakuru,Small (5-19),Other Services,Panel,69.44247,67.93352,150.13739,147
