idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a7dx_num,a9,a20y,a20m,a20d,b1,b1x,b3,b3a,b2a,b2b,b2c,b2d,SAb1a,SAb1b,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d5a,d8,SAd1a,SAd1b,SAd1c,SAd1d,d10,d11,d12a,d12b,d13,d14,d15a,d30a,d30b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,SAe1,SAe2,SAe3,SAe4,SAe5,SAe6a,SAe6b,SAe6c,SAe6d,e6,e11,SAe7,SAe8,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,f2,g6a,g1a,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,SAi1a,SAi1b,SAi1c,SAi1d,i30,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a1,k21,k30,h7a,j2,j3,j4,j5,j6a,j6,j7a,j7b,SAj4,SAj5a,SAj5b,SAj5c,SAj6,SAj7,SAj8,SAj9,SAj10,SAj11,j10,j11,j12,j13,j14,j15,SAj12,SAj13,SAj14a,SAj14b,SAj15,j30a,j30b,j30c,j30e,j30f,h30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,SAl1a1,SAl1b1,SAl1a2,SAl1b2,SAl1a3,SAl1b3,SAl1a4,SAl1b4,SAl1a5,SAl1b5,SAl1a6,SAl1b6,SAl2a,SAl2b,SAl2c,SAl2d,SAl2e,SAl2f,SAl3,SAl4a1,SAl4a2,SAl4a3,SAl4a4,SAl4a5,l10,l11a,l11a1,l11b,l11b1,SAl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,COVb1a,COVb1b,COVb2a,COVb2b,COVb2c,COVc2b,COVc2c,COVc4a,COVd3a,COVd3b,COVd6,COVd8,COVe1a,COVe2,COVf1,COVf2a,COVf2b,COVf2c,COVf2d,COVf2e,COVf2i,COVf2fx,SAf3,SAf3x,COVg2,n2a,n2e,n2b,n2i,n2p,n2e1,n7a,SAj3,a15d,a15m,a15y,a15h,a15min,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,a15a2_check,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
713517,4809,Fabricated Metal Products,Small,Gauteng,IT,Other services,Gauteng,Small,18,11,2020,16,20,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,50,Yes,100,0,0,0,Yes,No,Yes,50.0,2002,5,2002,26,No,No,,No,,,Yes,3.0,4.0,0.0,None,,Yes,100.0,No,,,,,,No,No obstacle,Provide services of ,provides services of technology systems,100,2000000.0,two million ,4000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Non-managers are normally not promoted,Rarely or never,,,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,100,100,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,2,1,6,4,3,5,5,,,,,,,,2.0,No full-time seasonal or temporary workers,,,100.0,,1,Does not apply,1,Does not apply,1,Does not apply,1,Does not apply,1,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,8,2,3,7,11,12,1,5,10,6,13,9,14,15,4,Yes,16.0,Decrease,,80.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,0.0,1000000.0,,426000.0,,,,,2,18.0,11.0,2020.0,16.0,29.0,Owner,,18.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,Over 250.000 to 1 million,7229,,2,1,3,0,296.66666,296.66666,296.66666,35
713518,4817,Retail,Small,Gauteng,Retail,Retail services,Gauteng,Medium,30,11,2020,16,6,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,No,100,0,0,0,No,No,No,,2001,5,2001,10,No,No,,No,,,Yes,2.0,2.0,0.0,None,,Yes,50.0,No,,,,,,Yes,No obstacle,Retail trade of ,retail trade of furniture,100,4000000.0,four million ,3000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,10,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,50,50,No,,,10000.0,Square Feet,,No obstacle,No,,,Yes,20.0,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,5,6,1,2,4,20,15,,,,,,,,20.0,No full-time seasonal or temporary workers,,,80.0,,5,5,5,5,0,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,12,10,4,1,11,14,6,3,15,13,7,8,2,9,5,Yes,5.0,Decrease,,30.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,0.0,300000.0,,90000.0,100000.0,,,,3,30.0,11.0,2020.0,16.0,34.0,Other Management,,10.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,Yes,City with population over 1 million,5239,,2,1,7,0,193.48,193.48,193.48,41
713519,4833,Retail,Small,Gauteng,Construction Section F: ,Other services,Gauteng,Medium,8,11,2020,21,12,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,Yes,No,No,,2006,2,2006,14,No,No,,No,,,Yes,3.0,2.0,0.0,None,,Yes,30.0,No,,,,,,Yes,No obstacle,Construction of,construction of homes,100,5000000.0,five million ,8000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,100,100,No,,,,,,No obstacle,Yes,10.0,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to disagree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,2.0,Ownership ,Management Control ,No,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,2,4,5,6,1,3,40,40,,,,,,,,8.0,No full-time seasonal or temporary workers,,,50.0,,5,5,5,3,5,Does not apply,7,Does not apply,5,Does not apply,5,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,12,11,1,6,14,3,13,9,15,4,10,7,8,2,5,Yes,12.0,Decrease,,80.0,Decrease,Decrease,Yes,Decrease,Decrease,40.0,40.0,Decrease,None of the above,No,,,,,,No,,Access to new credit,,0.0,1500000.0,,200000.0,,,,,2,8.0,11.0,2020.0,21.0,27.0,Owner,,10.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,Yes,City with population over 1 million,4520,,2,1,7,0,193.48,193.48,193.48,41
713520,4877,Construction,Small,Gauteng,Fabricated metal products,Manufacturing,Gauteng,Medium,25,11,2020,13,33,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,2000,5,2000,20,No,No,,No,,,Yes,2.0,2.0,0.0,None,,Yes,50.0,No,,,No,,,No,No obstacle,Manufacturing of ,manufacturing of steel tanks,100,20000000.0,twenty million ,30000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,10.0,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,100.0,168.0,50,50,No,,,,,,No obstacle,Yes,2.0,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,1.0,Ownership ,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,3,4,2,1,5,80,80,80.0,0.0,80.0,0.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,50.0,,10,10,10,10,10,10,10,10,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,14,7,9,12,1,11,13,2,4,3,5,10,15,8,6,Yes,12.0,Decrease,,90.0,Decrease,Decrease,Don't know (spontaneous),Don't know (spontaneous),Decrease,24.0,24.0,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,0.0,12000000.0,4000000.0,100000.0,,16100000.0,3000000.0,200000000.0,3,25.0,11.0,2020.0,13.0,40.0,Other Management,,20.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,Over 250.000 to 1 million,2812,,2,1,6,0,212.38235,212.38235,212.38235,40
713521,4880,Retail,Small,Gauteng,Food,Manufacturing,Gauteng,Medium,30,11,2020,9,49,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,No,100,0,0,0,No,No,No,,2010,5,2010,3,Yes,No,,No,,,Yes,2.0,2.0,0.0,None,,Yes,50.0,No,,,No,,,Yes,No obstacle,Manufacturing of ,manufacturing of pet products,100,2500000.0,two million five hundred thousand ,2200000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it but did not take further action,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,10.0,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,100.0,168.0,50,50,No,,,,,,No obstacle,Yes,2.0,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,2.0,Skills Development,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,5,1,2,4,3,45,40,45.0,0.0,45.0,0.0,0.0,45.0,0.0,,No full-time seasonal or temporary workers,,,80.0,,10,10,10,10,5,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,5,13,1,12,11,9,4,6,14,15,8,2,10,3,7,No,,Increase,10.0,,Increase,Increase,Yes,Remain the same,Remain the same,,,Increase,,No,,,,,,No,,Wage subsidies,,0.0,300000.0,700000.0,200000.0,,1200000.0,700000.0,3000000.0,0,30.0,11.0,2020.0,10.0,10.0,Other Management,,3.0,Female,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3.0,No,No,Over 250.000 to 1 million,1533,,2,1,7,0,193.48,193.48,193.48,41
713522,4956,Other Services,Small,Gauteng,Retail,Retail services,Gauteng,Small,26,11,2020,13,4,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,2003,5,2003,25,No,No,,No,,,Yes,3.0,2.0,0.0,None,,Yes,50.0,No,,,,,,Yes,No obstacle,Retail trade of ,retail trade of phones,100,4000000.0,four million ,6000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,50,50,No,,,10000.0,Square Feet,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,3.0,Ownership ,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,4,2,3,6,1,6,6,,,,,,,,3.0,No full-time seasonal or temporary workers,,,60.0,,2,2,2,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,10,11,9,15,14,8,12,13,6,5,1,4,7,2,3,Yes,30.0,Decrease,,30.0,Decrease,Decrease,Don't know (spontaneous),Don't know (spontaneous),Decrease,3.0,0.0,Decrease,None of the above,No,,,,,,No,,Deferral of tax payments,,0.0,2400000.0,,50000.0,1000000.0,,,,3,26.0,11.0,2020.0,13.0,24.0,Other Management,,5.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3.0,No,No,Over 250.000 to 1 million,5239,,2,1,8,0,162.29031,162.29031,162.29031,43
713523,4961,Other Manufacturing,Small,Gauteng,Wood,Manufacturing,Gauteng,Small,17,11,2020,10,29,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,Yes,No,No,,1989,5,1989,10,Yes,No,,No,,,Yes,3.0,2.0,0.0,None,,No,,No,,,No,,,Yes,No obstacle,Manufacturing of ,manufacturing of small pine wendy houses,100,1500000.0,one million and five hundred thousand ,1500000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,5.0,10,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,They avoid VAT or other sales taxes ,None of the above,No obstacle,No,,,,No,,,No,,100.0,168.0,100,100,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to disagree,20,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,1.0,Ownership ,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,2,3,4,6,5,5,5,5.0,0.0,5.0,0.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,80.0,,1,Does not apply,1,Does not apply,1,Does not apply,1,Does not apply,1,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,2,14,13,4,6,5,7,3,12,11,10,15,9,1,8,Yes,6.0,Remain the same,,,Remain the same,Remain the same,Yes,Remain the same,Remain the same,,,Remain the same,,No,,,,,,No,,Wage subsidies,,0.0,100000.0,200000.0,70000.0,,370000.0,200000.0,6000000.0,2,17.0,11.0,2020.0,10.0,42.0,Other Management,,6.0,Female,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,2023,,2,1,5,0,201.50002,201.50002,201.50002,38
713524,4975,Retail,Small,Gauteng,Retail,Retail services,Gauteng,Small,28,11,2020,17,42,ZAF,INT_C010,English,Firm,Yes,3.0,No,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,1999,5,1999,13,Yes,No,,No,,,Yes,3.0,2.0,0.0,None,,Yes,50.0,No,,,,,,Yes,No obstacle,Retail trade of ,retail trade of stationery,100,2000000.0,two million ,3000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,50,50,No,,,10000.0,Square Feet,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,10,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,3,4,6,2,1,17,17,,,,,,,,13.0,No full-time seasonal or temporary workers,,,80.0,,5,5,5,2,0,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,4,13,2,12,9,6,11,14,8,5,10,15,7,3,1,Yes,8.0,Decrease,,40.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,54.0,350000.0,,120000.0,1000000.0,,,,0,28.0,11.0,2020.0,18.0,19.0,Other Management,,10.0,Female,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3.0,No,Yes,City with population over 1 million,5239,,2,1,7,0,193.48,193.48,193.48,41
713525,4987,Motor Vehicles,Small,Gauteng,35,Manufacturing,Gauteng,Medium,12,11,2020,13,0,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,Yes,No,No,,2000,10,2000,30,No,No,,No,,,Yes,3.0,2.0,0.0,30.0,,Yes,50.0,No,,,No,,,Yes,No obstacle,Manufacturing of ,manufacturing of automotive parts,100,20000000.0,twenty million ,50000000.0,80,0,20,5.0,No,2000.0,100.0,0.0,0.0,0.0,No losses,No losses,80,20,Yes,5.0,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,0.0,10,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,100.0,160.0,50,50,No,,,,,,No obstacle,Yes,2.0,,No,,,No,No,No,No,Moderate obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to disagree,30,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,2.0,Ownership ,Skills Development,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,1,5,2,3,6,46,46,46.0,0.0,46.0,0.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,60.0,,5,5,5,Does not apply,5,Does not apply,10,5,15,Does not apply,5,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,14,15,10,2,3,12,5,13,8,11,9,6,7,4,1,Yes,8.0,Decrease,,45.0,Decrease,Decrease,Yes,Decrease,Decrease,18.0,18.0,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,0.0,7000000.0,7000000.0,150000.0,,14150000.0,10000000.0,7000000.0,1,12.0,11.0,2020.0,13.0,8.0,"President, Executive Director, or CEO",,15.0,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,3430,,2,1,4,0,226.71428,226.71428,226.71428,37
713526,4998,Retail,Small,Gauteng,Construction Section F: ,Other services,Gauteng,Medium,23,11,2020,16,15,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,Yes,No,No,,2003,5,2003,10,No,No,,No,,,Yes,3.0,2.0,0.0,None,,No,,No,,,,,,No,No obstacle,Construction of,provides services of electrical construction,100,3000000.0,three million ,5000000.0,50,50,0,,,2005.0,100.0,0.0,0.0,0.0,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,10,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,50,50,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,1.0,Ownership ,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,6,3,5,2,4,26,26,,,,,,,,3.0,No full-time seasonal or temporary workers,,,50.0,,10,10,6,3,0,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,11,8,3,9,2,13,15,10,5,12,7,14,4,6,1,Yes,8.0,Decrease,,30.0,Decrease,Decrease,Yes,Decrease,Remain the same,40.0,0.0,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,4.0,1000000.0,,500000.0,,,,,2,23.0,11.0,2020.0,16.0,24.0,Other Management,,10.0,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,Over 250.000 to 1 million,4530,,2,1,7,0,193.48,193.48,193.48,41
713527,5002,Other Manufacturing,Small,Gauteng,Furniture,Manufacturing,Gauteng,Small,16,10,2020,10,26,ZAF,INT_C011,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,2011,7,2011,9,No,No,,No,,,Yes,4.0,2.0,0.0,5.0,,Yes,5.0,No,,,No,,,No,Minor obstacle,Manufacturing of ,Manufacturing of furniture,80,2000000.0,two million ,1500000.0,50,0,50,15.0,No,2011.0,25.0,25.0,25.0,25.0,5,5.0,50,50,No,,,Moderate obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 indicators,No,,,,Yes,The establishmentâs performance ,Based solely on performance and ability,Within 6 months of identifying under-performance,National â main product sold mostly across the country where establishment is located,5.0,90,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,They have favored access to subsidies and government support or contracts,None of the above,No obstacle,No,,,,No,,,Yes,10000.0,100.0,160.0,100,100,No,,,,,,No obstacle,Yes,5.0,,No,,,No,No,No,No,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No obstacle,Tend to disagree,25,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,Yes,2.0,Ownership ,Skills Development,No,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Major obstacle,3,4,6,1,2,5,9,7,9.0,0.0,9.0,0.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,95.0,,0,Does not apply,0,Does not apply,0,Does not apply,2,2,0,Does not apply,7,Does not apply,Above required,Above required,As required,As required,As required,As required,No,,,,,,No,,,,,,Minor obstacle,Minor obstacle,Corruption,10,4,9,12,8,15,14,2,11,3,13,6,7,1,5,Yes,4.0,Increase,50.0,,Increase,Increase,Yes,Decrease,Increase,3.0,0.0,Increase,,No,,,,,,No,,Access to new credit,,6.0,450000.0,200000.0,150000.0,,800000.0,150000.0,4000000.0,4,16.0,10.0,2020.0,10.0,26.0,Owner,,9.0,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,Yes,City with population over 1 million,3691,,2,1,5,0,201.50002,201.50002,201.50002,38
