model,roc_auc,f1_macro,f1_high_risk
Logistic Regression,0.8431512318820275,0.5350549178553722,0.33211678832116787
Random Forest,0.8590660832871401,0.6032858722184583,0.36623067776456597
XGBoost (Initial),0.8636201173457585,0.6402258100948339,0.2973621103117506
XGBoost (Tuned),0.8552566310543632,0.6201237807956917,0.2349869451697128
